2019-01-08 16:04:28.568 [main] INFO  com.alibaba.lcc.AlibabaApplication - Starting AlibabaApplication on lichengchengdeMacBook-Air.local with PID 56786 (/Users/setsun/IdeaProjects/school_code/alibaba_lcc_client/target/classes started by setsun in /Users/setsun/IdeaProjects/school_code/alibaba_lcc_client)
2019-01-08 16:04:28.572 [main] INFO  com.alibaba.lcc.AlibabaApplication - The following profiles are active: dev
2019-01-08 16:04:29.243 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.alibaba.lcc]' package. Please check your configuration.
2019-01-08 16:04:29.297 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-01-08 16:04:29.299 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-01-08 16:04:29.322 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7ms. Found 0 repository interfaces.
2019-01-08 16:04:29.659 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration' of type [org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration$$EnhancerBySpringCGLIB$$951801d2] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-01-08 16:04:29.705 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$ceac43a4] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-01-08 16:04:30.068 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2019-01-08 16:04:30.082 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2019-01-08 16:04:30.093 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-01-08 16:04:30.094 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.13
2019-01-08 16:04:30.102 [main] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/setsun/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
2019-01-08 16:04:30.195 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-01-08 16:04:30.196 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1539 ms
2019-01-08 16:04:30.612 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-01-08 16:04:31.508 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false)
2019-01-08 16:04:31.663 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2019-01-08 16:04:31.691 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2019-01-08 16:04:31.716 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2019-01-08 16:04:31.726 [main] INFO  com.alibaba.lcc.AlibabaApplication - Started AlibabaApplication in 23.603 seconds (JVM running for 29.458)
2019-01-08 16:05:42.148 [Thread-49] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-01-08 16:06:09.636 [main] INFO  com.alibaba.lcc.AlibabaApplication - Starting AlibabaApplication on lichengchengdeMacBook-Air.local with PID 57101 (/Users/setsun/IdeaProjects/school_code/alibaba_lcc_client/target/classes started by setsun in /Users/setsun/IdeaProjects/school_code/alibaba_lcc_client)
2019-01-08 16:06:09.640 [main] INFO  com.alibaba.lcc.AlibabaApplication - The following profiles are active: dev
2019-01-08 16:06:10.275 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.alibaba.lcc]' package. Please check your configuration.
2019-01-08 16:06:10.332 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
